title,url,synopsis,genre,country,year
007 퀀텀 오브 솔러스,https://pedia.watcha.com/ko-KR/contents/mWpGwK5,"‘카지노 로얄’에서 최초의 임무를 성공적으로 완수한 007 제임스 본드. 하지만 첫사랑 베스퍼의 배신과 비극적인 죽음으로 강렬한 복수심에 휩싸인다. 한편, 진실을 밝히기 위해 M과 함께 수수께끼의 인물 미스터 화이트를 심문하던 중, 베스퍼를 죽음으로 몰고간 배후 세력이 생각보다 훨신 거대하고 위험한 조직임을 알게 된다. 게다가 MI6 내부에까지 세력이 침투해 있어 제임스 본드가 믿을 수 있는 사람은 아무도 없다는 게 밝혀진다. 비밀리에 단서를 쫓던 007은 MI6 내의 누군가가 테러 조직의 돈 세탁을 위해 아이티에 은행 계좌를 만들었다는 정보를 입수하고 곧바로 아이티로 향한다. 그곳에서 예상 밖의 아군 카밀을 만나게 되는데, 그녀 역시 독재자 메드라노 장군에게 온 가족을 몰살당한 뒤, 오직 복수만을 위해 그와 줄을 대고 있는 도미닉 그린에게 접근한다. 아이티로 날아온007은 카밀의 도움으로 마침내 냉혈한 비즈니스맨이자 조직의 배후 인물인 도미닉 그린에게 접근하는데 성공하지만, 조직의 명령을 거부하고 단독 행동에 나선 007은 CIA와 영국 정부에 쫓기는 신세가 된다. 한편, 오스트리아, 이탈리아, 남미로 이어지는 도미닉의 행로를 쫓던 007은 남미의 정권을 찬탈, 망명 중인 메드라노 장군을 복귀시키려는 계략을 꾸미고 있음을 알게 된다. 게다가 도미닉은 CIA와 영국 정부 고위층을 포함한 ‘퀀텀’이라는 비밀 조직을 결성, 세계에서 가장 중요한 천연 자원을 독점하려는 거대한 음모를 꾸미고 있었다. 배신과 살인, 음모가 난무하는 가운데, 이제 누구도 믿지 못하게 된 007은 진실을 밝히기 위해 CIA, 테러범, 그리고 심지어 M보다 한발 앞서 도미닉이 이끄는 사악한 조직 ‘퀀텀’을 제거하기 위해 직접 살인을 하거나 본인의 목숨을 내 놓아야 하는 지경에 처하는데...",액션/모험/스릴러,"영국, 미국",2008
007 스카이폴,https://pedia.watcha.com/ko-KR/contents/m5x42l5,"상관 M의 지시에 따라 현장 요원 이브와 함께 임무를 수행하던 제임스 본드는 달리는 열차 위에서 적과 치열한 결투를 벌이다 M의 명령으로 이브가 쏜 총에 맞고 추락하여 실종된다. 이에 임무가 실패로 끝나자 전세계에서 테러단체에 잠입해 임무를 수행 중이던 비밀 요원들의 정보가 분실되고 MI6는 사상 최대의 위기에 빠진다. 설상가상으로 M의 과거에 얽힌 비밀로 인해 미스터리한 적 ‘실바’에게 공격을 받은 MI6는 붕괴 위험에 처하게 되고, 이 사건으로 인해 M은 책임 추궁을 당하며 퇴출 위기에 놓인다. 이때, 죽음의 고비에서 부활한 제임스 본드가 M의 곁으로 다시 돌아온다. 절체절명의 위기에 놓인 MI6와 M을 구하기 위해 제임스 본드는 비밀스러운 여인 세버린을 통해 ‘실바’를 찾아간다. 그리고 마침내 사상 최강의 적 ‘실바’와 피할 수 없는 대결을 시작하게 되는데...",액션/스릴러/모험,"영국, 미국, 튀르키예",2012
007 스펙터,https://pedia.watcha.com/ko-KR/contents/mWpkjx5,"멕시코에서 일어난 폭발 테러 이후 MI6는 영국 정부에 의해 해체 위기에 놓인다. 자신의 과거와 연관된 암호를 추적하던 제임스 본드는 사상 최악의 조직 ‘스펙터’와 자신이 연관되어 있다는 사실을 알게 되고, 궁지에 몰린 MI6조차 그를 포기하면서 절체절명의 위기에 직면하는데…",액션/모험/스릴러,"영국, 미국, 오스트리아, 멕시코, 이탈리아, 모로코",2015
007 노 타임 투 다이,https://pedia.watcha.com/ko-KR/contents/m5Zz795,"가장 강력한 운명의 적과 마주하게 된 제임스 본드의 마지막 미션이 시작된다! MI6를 떠난 이후 매들린(레아 세두)과 이탈리아의 오랜 도시 마테라에서 평화로운 일상을 즐기던 제임스 본드(대니엘 크레이그). 어느 날 CIA 요원 펠릭스(제프리 라이트)가 찾아와 선별적 DNA 공격이 가능한 새로운 형태의 생화학 무기 유출을 알린다. 위험에 처한 전 세계를 구하기 위해 복귀하게 된 제임스 본드는 임무를 수행하는 과정에서 새로운 MI6 요원 노미(라샤나 린치)를 만나고, 모든 사건의 배후에 운명으로 얽혀 있는 최악의 적 사핀(라미 말렉)이 존재한다는 것을 알아낸다. 위험천만한 위기 속, 감춰져 있던 비밀이 밝혀지면서 작전은 점점 더 예측할 수 없는 상황으로 치닫게 되는데...",액션/모험/스릴러,"영국, 미국",2021
나쁜 녀석들,https://pedia.watcha.com/ko-KR/contents/mWvkXbO,"숨막힐 듯한 열기를 뿜어내는 도시 마이애미, 십만불짜리 포르쉐를 몰고 다니는 마이크 라우리(윌 스미스)와 덜컹거리는 스테이션 웨건을 타고 다니는 세 아이의 아버지 마커스 버넷(마틴 로렌스)은 자주 다투지만 손발 잘 맞는 흑인 형사들이다. 어느날 경찰의 증거 보관 창고에서 1억원 상당의 헤로인이 사라지는 사건이 벌어지자 치민 반장은 FBI로 넘어가기 전까지 72시간내에 자체적으로 물건을 찾아 갖다 놓을 생각으로 두 형사에게 사건을 맡긴다. 미궁에 빠진 사건에 단서를 찾아 애쓰던 중 줄리(티 레오니)라는 여성에게 희망적인 전화가 걸어온다. 콜걸인 그녀는 동료 맥스와 함께 범인 일당에게 일하러 갔다가 맥스가 일당에게 살해되어 그 자신도 쫓기고 있었다. 믿을 수 있는 경찰이 필요한 그녀는 맥스와 친분이 있던 라우리만을 찾게 되고 때마침 라우리가 자리에 없자, 반장의 성화에 못이겨 버넷이 라우리인척 그녀와 통화한다. 유일한 목격자인 줄리에게 신뢰를 잃지 않기 위해 사건이 해결될 때까지 버넷과 라우리는 서로의 역할을 바꿀 수 밖에 없다. 총격과 숨가뿐 추격전이 벌어지는 가운데 플레이보이 라우리는 세 아이의 아버지 역할을 가정에 충실한 유부남 버넷은 파트너의 호화로운 아파트에서 섹시한 목격자와 함께 지내게 된다. 한 편, 맥스와 함께 살해된 남자가 전직 경찰 도밍게즈(엠마뉴엘 주에렙)임이 밝혀지면서 사건의 실마리가 서서히 풀린다. 도밍게즈의 애인이었던 마약계 여직원 프랜신(안나 레빈)이 애인의 협박으로 정보를 빼내 주었고, 그가 전문 마약 거래상인 푸쉐(체키 카요) 일당과 함께 경찰 보관 창고의 마약을 훔쳐낸 것이다. 감쪽같이 푸쉐는 마약을 다른 중개상에게 넘기기 위한 계획을 추진하는 한편, 유일한 목격자를 없애기 위해 줄리의 뒤를 쫓던 중 버넷과 라우리를 따돌리고 줄리를 납치해 가는데...",액션/코미디/범죄,미국,1995
나쁜 녀석들 2,https://pedia.watcha.com/ko-KR/contents/mAd7m2W,"숨막힐 듯한 열정의 도시 마이애미! 평화로운 해변과 따뜻한 햇살 속의 이 도시가 거대한 마약카르텔의 손아귀에 들어갈 위기에 처한다. 육해공을 총동원한 철저한 감시에도 불구하고 막대한 마약 유통자금이 계속해서 쿠바로 빠져나가자 당국은 초비상사태가 된다. 어느날 마약거래 현장을 적발, 마이애미 교각 전체를 쑥대밭으로 만든 대규모 추격전을 벌인 마약단속반 최고의 '나쁜 녀석들' 콤비 마이크(윌 스미스)와 마커스(마틴 로렌스)는 신출귀몰한 경로의 배후에 생각보다 거대한 음모가 도사리고 있음을 발견한다. 마이크가 마커스가 애지중지하는 여동생 시드와 뜨거운 로맨스에 빠지면서 두 사람의 오랜 우정마저 흔들릴 무렵, DEA 요원으로 위장근무 중이던 시드가 조직의 보스 타피아에게 납치당하는 사태가 발생한다. 규정위반으로 쿠바로 도주한 타피아를 뒤쫓지도 못하고 꼼짝달싹할 수 없는 함정에 빠진 마이크와 마커스...",액션/코미디/범죄/스릴러,미국,2003
나쁜 녀석들 : 포에버,https://pedia.watcha.com/ko-KR/contents/mOA1eZO,"마이애미 강력반의 베테랑 형사 ‘마이크’(윌 스미스)는 여전히 범죄자를 소탕하는 데 열성적이지만, 그의 파트너 ‘마커스’(마틴 로렌)는 이제 일선에서 물러나 가족과 함께 시간을 보내고 싶어한다. 마커스의 은퇴를 만류하던 마이크가 정체를 알 수 없는 거대 조직의 위협을 받으며 일생일대의 위험에 빠지게 된다. 가족만큼 중요한 마이크를 위해 마커스가 합류하고, 우리의 ‘나쁜 녀석들’은 신식 무기와 기술을 장착한 루키팀 AMMO와 함께 힘을 합쳐 일생일대 마지막 미션을 수행하게 되는데…",액션/코미디/범죄/스릴러,미국,2020
나쁜 녀석들: 라이드 오어 다이,https://pedia.watcha.com/ko-KR/contents/mWq1v7B,마이애미 강력반 최고의 콤비 ‘마이크’(윌 스미스)와 ‘마커스’(마틴 로렌스). 가족 같은 ‘하워드’(조 판토리아노) 반장이 사망 전 마약 카르텔 조직의 비리에 연루되었다는 뉴스 속보를 접하게 된다. 하지만 아무도 믿지 말라는 ‘하워드’ 반장의 비밀 메시지를 받은 ‘마이크’와 ‘마커스’ 형사는 사건의 진실을 밝히기 위해 위험한 수사를 시작한다. 서서히 드러나는 거대한 음모와 마주하게 된 나쁜 녀석들. 그러나 이들 역시 함정에 빠져 사건의 용의자로 지목되며 동료 경찰들은 물론 마약 카르텔 조직에게도 쫓기는 신세가 되고 마는데… 용의자가 된 나쁜 녀석들의 화끈한 수사가 시작된다!,액션/모험/코미디,미국,2024
닌자터틀,https://pedia.watcha.com/ko-KR/contents/m5YrbQW,"악당 슈레더와 그의 조직 ‘풋 클랜’이 장악해버린 후 범죄와 폭력이 난무하는 뉴욕시. 열혈 방송기자 에이프릴은 카메라맨 버논과 함께 그들의 음모를 파헤치기 위해 나서고, 슈레더와 손 잡은 사업가 에릭 삭스의 정체가 점점 드러나게 된다. 한편, 하수구에 살던 ‘닌자터틀’ 레오나르도, 도나텔로, 라파엘, 미켈란젤로는 암흑으로 변해가는 도시를 구하기 위해 거리로 나오게 되는데...",애니메이션/공포/SF/모험/판타지/액션/코미디,미국,2014
늑대의 후예들,https://pedia.watcha.com/ko-KR/contents/mWJyaQ5,"1765년 프랑스 남부 산악지대 제보당에 야수가 출현하여 마을의 여자와 어린아이들을 무참히 살해한다. 1년이 지나자 100여명의 사상자를 낸 야수의 소문은 프랑스 전역으로 번지고 루이 15세는 긴급히 프롱삭 기사와 모호크족 전사 마니를 밀사로 파견한다. 주민들은 늑대의 소행이라고 단언하지만, 프롱삭은 시체의 몸에 박힌 금속성의 물질과 구사 일생으로 살아남은 자들의 증언으로 미루어볼 때 늑대보다 거대한 몸집을 지닌 정체를 알 수 없는 야수라고 추측하게 된다. 흔적도 없이 사라지는 야수를 잡기위해 마침내 6000프랑의 상금을 내건 프랑스 최대 규모의 야수 사냥 대회가 열리지만 늑대가 떼죽음 당하고 무고한 주민 12명이 희생되었지만 야수는 잡지 못한 채 끝이 난다. 프롱삭 주변에는 묘한 분위기의 사람들이 하나 둘씩 나타나는데. 제보당에 도착한 첫날 프롱삭은 연회에서 백작의 딸 마리안을 만나 첫눈에 반한다. 프롱삭을 못마땅하게 여긴 음침한 분위기의 그녀의 오빠 장(뱅상 카셀 분)은 사사건건 프롱삭과 부딪히게 된다. 고급 요정에서 만난 신비로운 분위기의 창녀 실비아(모니카 벨루치 역)는 프롱삭에게 알 수 없는 단서들을 던져주고. 사건의 실마리는 점점 더 안개처럼 희미해져가고 프롱삭에게 접근하는 실비아와 장 그리고 악마적인 분위기의 집시들의 행동은 거세어져 간다. 어느날 야수를 쫓던 모호크족의 전사 마니가 집시들과의 격렬한 전투 도중 비참한 최후를 맞자 프롱삭은 심한 갈등과 혼란에 휩싸이게 되는데.",액션/모험/드라마/공포/스릴러,프랑스,2001
다이 하드,https://pedia.watcha.com/ko-KR/contents/mdjaQlO,"크리스마스를 보내기 위해 아내와 자식이 있는 로스엔젤레스로 날아온 뉴욕 경찰 존 맥크레인(John McClane: 브루스 윌리스 분). 그가 아내 홀리(Holly Gennero McClane: 보니 델리아 분)의 직장이 있는 나카토이 빌딩으로 찾아 갔을때, 사무실에서는 크리스마스 파티가 한창이다. 그러나 파티가 한창 무르익을 무렵, 한스 그루버(Hans Gruber: 알란 릭맨 분)가 이끄는 일단의 테러리스트들이 침입, 사장을 비롯한 파티 참석자 30여 명을 인질로 삼고 건물 금고에 소장하고 있는 돈과 보물을 손에 넣으려 한다. 최첨단 하이테크에 의해 관리되던 34층짜리 나카토미 빌딩은 통채로 테러리스트들의 수중으로 넘어가 폐쇄되고 고층 빌딩은 살벌한 생존 게임의 전쟁터로 변해 가공할 병기가 복도를 휘젖는다. 긴급 출동한 경찰과 FBI는 혼자 고군분투하는 존을 무시한 채 멋대로 무리한 작전을 수행한다. 뿐만 아니라 출세욕에 눈이 먼 TV 리포터는 앞뒤없이 카메라를 들이대어 맥클레인을 궁지로 몰아 넣는다. 다만 말단 흑인 경찰관 포웰 경사(Sergeant Al Powell: 레지날드 볼존슨 분)만이 그의 눈과 귀가 되어 줄 뿐인데...",액션/스릴러/범죄,미국,1988
다이 하드 2,https://pedia.watcha.com/ko-KR/contents/mnOoVPW,"존 맥클레인은 아내 홀리를 마중하기 위해 공항으로 나간다. 그러나 테러리스트들이 공항을 점거하고, 마약의 대부 에스페란자 장군을 압송해 오는 비행기를 착륙시킨 후 점보기를 준비해 놓을 것을 요구한다. 홀리가 탄 비행기는 착륙하지 못하고 공항을 선회하나 연료가 떨어져 간다. 맥클레인과 특수부대원들은 테러리스트들의 본부인 교회를 습격하나 테러리스트들은 비행기에 오른다. 그러나 맥클레인은 테러리스트들의 총알이 공포탄이었음을 알고 특수 부대와 테러리스트들이 한 통속임을 알아낸다. 테러리스트들이 탄 비행기가 이륙하는 것을 온몸으로 막아 보지만 비행기는 이륙하는데...",액션/스릴러,미국,1990
다이 하드 3,https://pedia.watcha.com/ko-KR/contents/mDWvPDd,"테러리스트 사이먼(제레미 아이언스)은 뉴욕 곳곳에 폭탄을 설치해 놓고 맥클레인(브루스 윌리스) 형사에게 복수를 시작한다. 사이먼은 맥클레인이 1편에서 죽인 테러리스트의 형. 초등학교에 설치된 폭발물을 찾기 위해 온 뉴욕의 경찰들이 동원되는 동안 사이먼은 연방 은행의 금괴를 털어 유유히 사라진다. 사이먼의 계획을 눈치 챈 맥클레인은 도주 중인 사이먼의 배에 타지만 오히려 폭발물이 잔뜩 실린 배에 갇히게 된다. 구사일생으로 탈출한 사이먼은 진짜 금을 숨겨놓은 사이먼의 아지트를 찾아내고, 맥클레인과 사이먼의 마지막 혈전이 벌어지는데...",액션/모험/스릴러/범죄,미국,1995
다이 하드 4.0,https://pedia.watcha.com/ko-KR/contents/mWyJkyO,"7월 4일 미국의 독립기념일, 컴퓨터 해킹 용의자 매튜 패럴(저스틴 롱)을 FBI본부로 호송하던 존 맥클레인. 매튜 패럴의 집으로 들이닥친 괴한들의 총격을 받고 가까스로 목숨을 건진다. 정부의 네트워크 전산망을 파괴해 미국을 장악하려는 전 정부요원 토마스 가브리엘이 자신의 계획을 저지할 가능성이 있는 모든 해커들을 죽이는 동시에 미국의 네트워크를 공격하기 시작한 것이다. 천신만고 끝에 목숨을 건졌지만 미국의 교통,통신,금융,전기 등 모든 네트워크가 테러리스트의 손아귀에 들어가고, 미국은 공황상태에 빠진다. 테러리스트를 막기 위해 뉴저지로 워싱턴으로 버지니아로 숨막히는 추격전을 벌이는 가운데, 가브리엘이 존 맥클레인의 딸 루시를 인질로 잡고 마는데…",액션/스릴러,"미국, 영국",2007
더 록,https://pedia.watcha.com/ko-KR/contents/mZ5ewKO,"미 해병 여단장 프란시스 하멜 장군(에드 해리스)은 미국 정부를 상대로 극비 군사 작전을 수행하다 전사한 장병의 가족에게 보상을 해줄 것을 호소한다. 그러나 미국 정부는 이것을 무시했고, 하멜 장군은 정의의 회복이라는 명분 하에 알카트라즈 섬을 장악하고 이 섬을 찾아온 관광객 81명을 잡고 몸값을 요구한다. 정부가 이를 들어주지 않을 경우 살상용 화학가스가 장착된 미사일을 샌프란시스코에 발사하겠다고 협박한다. 이 사건을 해결하기 위해서 생화학 무기 전문가인 스탠리 굿스피드 박사(니콜라스 케이지)와 알카트라즈에서 유일한 탈옥자인 존 메이슨(숀 코넬리)이 발탁되는데...",액션/스릴러/모험,미국,1996
